TimeGenerated [UTC],DeviceName,ActionType,AccountName,RemoteIP,login_count
"3/29/2025, 3:43:12.521 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:43:20.709 AM",windows-target-1,LogonFailed,lichfield,REDACTED IP,1
"3/29/2025, 3:43:20.713 AM",windows-target-1,LogonFailed,lichfield,REDACTED IP,1
"3/29/2025, 3:43:29.929 AM",windows-target-1,LogonFailed,administrateur,REDACTED IP,1
"3/29/2025, 3:43:48.440 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:43:53.440 AM",windows-target-1,LogonFailed,temp,REDACTED IP,1
"3/29/2025, 3:43:55.899 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:44:01.278 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:44:09.067 AM",windows-target-1,LogonFailed,acronis agent user,REDACTED IP,1
"3/29/2025, 3:44:33.428 AM",windows-target-1,LogonFailed,wtamanager,REDACTED IP,1
"3/29/2025, 3:44:45.837 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:44:51.757 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:45:02.491 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:45:36.776 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:45:50.955 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:45:54.432 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:45:57.379 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:46:05.581 AM",windows-target-1,LogonFailed,newuser,REDACTED IP,1
"3/29/2025, 3:46:12.858 AM",windows-target-1,LogonFailed,office,REDACTED IP,1
"3/29/2025, 3:46:20.052 AM",windows-target-1,LogonFailed,defaultaccount,REDACTED IP,1
"3/29/2025, 3:46:21.369 AM",windows-target-1,LogonFailed,administrateur,REDACTED IP,1
"3/29/2025, 3:46:40.348 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:46:47.425 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:46:50.809 AM",windows-target-1,LogonFailed,sterling,REDACTED IP,1
"3/16/2025, 9:46:26.762 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:46:28.060 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:46:34.977 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:46:41.842 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:46:50.227 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:46:50.658 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:46:53.166 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:46:53.348 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:47:07.133 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:47:09.399 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:47:19.282 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:47:20.633 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:47:23.634 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:47:33.070 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:47:37.477 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:47:38.759 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:47:45.296 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:47:46.212 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:47:53.309 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:47:58.085 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:48:08.874 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:48:09.529 PM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"3/16/2025, 9:48:11.889 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:48:22.826 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:48:24.624 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:48:26.607 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:48:36.598 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:48:40.117 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:48:45.690 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:48:47.600 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:48:50.142 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:48:54.959 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:48:56.786 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:49:01.049 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:49:10.645 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:49:12.171 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:49:20.632 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:49:23.922 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:49:25.977 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:49:29.403 PM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"3/16/2025, 9:49:35.969 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:49:37.408 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:49:43.068 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:49:46.731 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:49:47.291 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:49:50.863 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:50:02.424 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:50:02.890 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:50:12.557 PM",windows-target-1,LogonFailed,auditor1,REDACTED IP,1
"3/16/2025, 9:50:15.941 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:50:18.530 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:50:29.365 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:50:29.976 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:50:58.532 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:51:05.041 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:51:19.633 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:51:31.218 PM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"3/16/2025, 9:51:45.082 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:52:05.297 PM",windows-target-1,LogonFailed,auditor2,REDACTED IP,1
"3/16/2025, 9:52:09.405 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:52:28.716 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:53:18.672 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:53:49.642 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:54:22.222 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:54:37.783 PM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"3/16/2025, 9:54:46.631 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:55:08.144 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:55:47.154 PM",windows-target-1,LogonFailed,sales,REDACTED IP,1
"3/16/2025, 9:55:51.261 PM",windows-target-1,LogonFailed,avv,REDACTED IP,1
"3/16/2025, 9:55:57.775 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:56:47.452 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:57:06.395 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:57:47.926 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:58:00.720 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:58:24.911 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:58:46.532 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:59:37.678 PM",windows-target-1,LogonFailed,awsuser,REDACTED IP,1
"3/16/2025, 9:59:38.058 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:59:38.871 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:59:39.844 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 9:59:40.171 PM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"3/16/2025, 9:59:58.034 PM",windows-target-1,LogonFailed,user4,REDACTED IP,1
"3/16/2025, 10:00:08.905 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 10:00:09.383 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 10:00:30.091 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 10:01:36.397 PM",windows-target-1,LogonFailed,admin,REDACTED IP,1
"3/16/2025, 10:01:48.124 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/16/2025, 10:01:54.713 PM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
